asset,session_date,N_origins,b2_5m_window_empty_count,b2_30m_window_empty_count,b2_5m_window_empty_unknown,b2_30m_window_empty_unknown
META,2024-10-28,65,0,0,0,0
MSFT,2024-10-28,65,0,0,0,0
NVDA,2024-10-28,65,0,0,0,0
TSLA,2024-10-28,65,0,0,0,0
AAPL,2024-10-29,65,0,0,0,0
AMZN,2024-10-29,65,0,0,0,0
META,2024-10-29,65,0,0,0,0
MSFT,2024-10-29,65,0,0,0,0
NVDA,2024-10-29,65,0,0,0,0
TSLA,2024-10-29,65,0,0,0,0
AAPL,2024-10-30,65,0,0,0,0
AMZN,2024-10-30,65,0,0,0,0
META,2024-10-30,65,0,0,0,0
MSFT,2024-10-30,65,0,0,0,0
NVDA,2024-10-30,65,0,0,0,0
TSLA,2024-10-30,65,0,0,0,0
AAPL,2024-10-31,65,0,0,0,0
AMZN,2024-10-31,65,0,0,0,0
META,2024-10-31,65,0,0,0,0
MSFT,2024-10-31,65,0,0,0,0
NVDA,2024-10-31,65,0,0,0,0
TSLA,2024-10-31,65,0,0,0,0
AAPL,2024-11-01,65,0,0,0,0
AMZN,2024-11-01,65,0,0,0,0
META,2024-11-01,65,0,0,0,0
MSFT,2024-11-01,65,0,0,0,0
NVDA,2024-11-01,65,0,0,0,0
TSLA,2024-11-01,65,0,0,0,0
AAPL,2024-11-04,65,0,0,0,0
AMZN,2024-11-04,65,0,0,0,0
META,2024-11-04,65,0,0,0,0
MSFT,2024-11-04,65,0,0,0,0
NVDA,2024-11-04,65,0,0,0,0
TSLA,2024-11-04,65,0,0,0,0
AAPL,2024-11-05,65,0,0,0,0
AMZN,2024-11-05,65,0,0,0,0
META,2024-11-05,65,0,0,0,0
MSFT,2024-11-05,65,0,0,0,0
NVDA,2024-11-05,65,0,0,0,0
TSLA,2024-11-05,65,0,0,0,0
AAPL,2024-11-06,65,0,0,0,0
AMZN,2024-11-06,65,0,0,0,0
META,2024-11-06,65,0,0,0,0
MSFT,2024-11-06,65,0,0,0,0
NVDA,2024-11-06,65,0,0,0,0
TSLA,2024-11-06,65,0,0,0,0
AAPL,2024-11-07,65,0,0,0,0
AMZN,2024-11-07,65,0,0,0,0
META,2024-11-07,65,0,0,0,0
MSFT,2024-11-07,65,0,0,0,0
NVDA,2024-11-07,65,0,0,0,0
TSLA,2024-11-07,65,0,0,0,0
AAPL,2024-11-08,65,0,0,0,0
AMZN,2024-11-08,65,0,0,0,0
META,2024-11-08,65,0,0,0,0
MSFT,2024-11-08,65,0,0,0,0
NVDA,2024-11-08,65,0,0,0,0
TSLA,2024-11-08,65,0,0,0,0
AAPL,2024-11-11,65,0,0,0,0
AMZN,2024-11-11,65,0,0,0,0
META,2024-11-11,65,0,0,0,0
MSFT,2024-11-11,65,0,0,0,0
NVDA,2024-11-11,65,0,0,0,0
TSLA,2024-11-11,65,0,0,0,0
AAPL,2024-11-12,65,0,0,0,0
AMZN,2024-11-12,65,0,0,0,0
META,2024-11-12,65,0,0,0,0
MSFT,2024-11-12,65,0,0,0,0
NVDA,2024-11-12,65,0,0,0,0
TSLA,2024-11-12,65,0,0,0,0
AAPL,2024-11-13,65,0,0,0,0
AMZN,2024-11-13,65,0,0,0,0
META,2024-11-13,65,0,0,0,0
MSFT,2024-11-13,65,0,0,0,0
NVDA,2024-11-13,65,0,0,0,0
TSLA,2024-11-13,65,0,0,0,0
AAPL,2024-11-14,65,0,0,0,0
AMZN,2024-11-14,65,0,0,0,0
META,2024-11-14,65,0,0,0,0
MSFT,2024-11-14,65,0,0,0,0
NVDA,2024-11-14,65,0,0,0,0
TSLA,2024-11-14,65,0,0,0,0
AAPL,2024-11-15,65,0,0,0,0
AMZN,2024-11-15,65,0,0,0,0
META,2024-11-15,65,0,0,0,0
MSFT,2024-11-15,65,0,0,0,0
NVDA,2024-11-15,65,0,0,0,0
TSLA,2024-11-15,65,0,0,0,0
AAPL,2024-11-18,65,0,0,0,0
AMZN,2024-11-18,65,0,0,0,0
META,2024-11-18,65,0,0,0,0
MSFT,2024-11-18,65,0,0,0,0
NVDA,2024-11-18,65,0,0,0,0
TSLA,2024-11-18,65,0,0,0,0
AAPL,2024-11-19,65,0,0,0,0
AMZN,2024-11-19,65,0,0,0,0
META,2024-11-19,65,0,0,0,0
MSFT,2024-11-19,65,0,0,0,0
NVDA,2024-11-19,65,0,0,0,0
TSLA,2024-11-19,65,0,0,0,0
AAPL,2024-11-20,65,0,0,0,0
AMZN,2024-11-20,65,0,0,0,0
META,2024-11-20,65,0,0,0,0
MSFT,2024-11-20,65,0,0,0,0
NVDA,2024-11-20,65,0,0,0,0
TSLA,2024-11-20,65,0,0,0,0
AAPL,2024-11-21,65,0,0,0,0
AMZN,2024-11-21,65,0,0,0,0
META,2024-11-21,65,0,0,0,0
MSFT,2024-11-21,65,0,0,0,0
NVDA,2024-11-21,65,0,0,0,0
TSLA,2024-11-21,65,0,0,0,0
AAPL,2024-11-22,65,0,0,0,0
AMZN,2024-11-22,65,0,0,0,0
META,2024-11-22,65,0,0,0,0
MSFT,2024-11-22,65,0,0,0,0
