horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,primary,presence:b1_iv_60d,presence,finite_presence_binary,419,-0.0025123614546589458,0.0,0.003651920212759537,-0.2381393623170507,0.04231254930762617,7,10,402,17,0.016706443914081145,0.02386634844868735
5,primary,presence:b1_iv_7d,presence,finite_presence_binary,419,-0.0017334876994657467,0.0,0.002211423470078421,-0.21895404178964775,0.022845761835519146,5,4,410,9,0.011933174224343675,0.00954653937947494
5,primary,presence:b1_iv_90d,presence,finite_presence_binary,419,-0.004059531151261193,0.0,0.00425423170233147,-0.23852853352703451,0.021014136755230423,2,9,408,11,0.00477326968973747,0.021479713603818614
5,primary,presence:b1_iv_minus_trailing_rv_30d,presence,finite_presence_binary,419,-0.005077619732148691,0.0,0.006333637336656179,-0.23866310541724434,0.03807661019730072,10,15,394,25,0.02386634844868735,0.03579952267303103
5,primary,presence:b1_mfiv,presence,finite_presence_binary,419,0.17580482991216273,0.0930071335548158,0.17747006200015708,-0.01782983244149426,0.36271959921822977,368,20,31,388,0.8782816229116945,0.0477326968973747
5,primary,presence:b1_risk_reversal_25,presence,finite_presence_binary,419,-0.006643125315888483,-0.0074069023951368355,0.00683213002693176,-0.014319654453914202,0.004241788824584752,14,359,46,373,0.03341288782816229,0.8568019093078759
5,primary,presence:b1_smile_curvature,presence,finite_presence_binary,419,-0.0038710891041249316,0.0,0.005632134160706817,-0.23816588244429723,0.03872184111312627,16,13,390,29,0.03818615751789976,0.031026252983293555
5,primary,presence:b1_smile_level,presence,finite_presence_binary,419,-0.004097301471146944,0.0,0.004836267684835488,-0.23751464140119793,0.04091202316590128,5,10,404,15,0.011933174224343675,0.02386634844868735
5,primary,presence:b1_smile_slope,presence,finite_presence_binary,419,-0.004800103977733306,0.0,0.005677121986082037,-0.240066134685823,0.0413981415423574,7,12,400,19,0.016706443914081145,0.028639618138424822
5,primary,presence:b1_term_convexity,presence,finite_presence_binary,419,-0.0031374880904459696,0.0,0.00376531769657901,-0.2402708695075836,0.038004059207962286,5,10,404,15,0.011933174224343675,0.02386634844868735
5,primary,presence:b1_term_slope,presence,finite_presence_binary,419,-0.007225558300425577,0.0,0.009244486158293578,-0.22084417705140422,0.039099673870257826,14,24,381,38,0.03341288782816229,0.057279236276849645
5,primary,presence:b2_30m_buy_premium_share,presence,finite_presence_binary,419,0.002965114777389329,0.0,0.004714704465630044,-0.10345896674746566,0.11694701561075707,31,16,372,47,0.07398568019093078,0.03818615751789976
5,primary,presence:b2_30m_contracts,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_d_iv,presence,finite_presence_binary,419,0.001020142737795592,0.0,0.0024541939197255526,-0.10320198202653694,0.11386322168816322,11,7,401,18,0.026252983293556086,0.016706443914081145
5,primary,presence:b2_30m_d_mid_rel,presence,finite_presence_binary,419,0.0005878215822306407,0.0,0.0007120580219028885,-0.019625296346393636,0.07317633182471081,6,2,411,8,0.014319809069212411,0.00477326968973747
5,primary,presence:b2_30m_d_spread,presence,finite_presence_binary,419,0.00035240553718281627,0.0,0.0009378722829552701,-0.09819856224319978,0.11487684160501754,4,2,413,6,0.00954653937947494,0.00477326968973747
5,primary,presence:b2_30m_decay_intensity_innovation,presence,finite_presence_binary,419,0.0005047519068546777,0.0,0.0006138360555032271,-0.01916597950387715,0.09666792678753441,4,2,413,6,0.00954653937947494,0.00477326968973747
5,primary,presence:b2_30m_decay_intensity_last,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_delta_flow,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_gamma_flow,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_multileg_premium_share,presence,finite_presence_binary,419,0.00024819529698361933,0.0,0.0008804474709228716,-0.04801243530316223,0.10715662310401963,4,5,410,9,0.00954653937947494,0.011933174224343675
5,primary,presence:b2_30m_multileg_size_share,presence,finite_presence_binary,419,0.00022096992698759758,0.0,0.0004110472675599969,-0.020661812743016674,0.09560542988161481,3,2,414,5,0.007159904534606206,0.00477326968973747
5,primary,presence:b2_30m_otm_premium_share,presence,finite_presence_binary,419,-0.0005284239639998893,0.0,0.0009693040032844203,-0.10542211255133599,0.06954161106633171,3,7,409,10,0.007159904534606206,0.016706443914081145
5,primary,presence:b2_30m_passive_premium_share,presence,finite_presence_binary,419,0.00010316962338472893,0.0,0.00030442156060804363,-0.022552384601888468,0.08539035304648586,1,2,416,3,0.002386634844868735,0.00477326968973747
5,primary,presence:b2_30m_premium,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_rate_per_second,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_sell_premium_share,presence,finite_presence_binary,419,-9.888657356222486e-06,0.0,0.000985109071600716,-0.10559594113715175,0.11121650003960687,2,2,415,4,0.00477326968973747,0.00477326968973747
5,primary,presence:b2_30m_size,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
5,primary,presence:b2_30m_sweep_premium_share,presence,finite_presence_binary,419,-1.4723668610345977e-05,0.0,0.0006077203547481171,-0.04653965272996561,0.06583824343661644,2,4,413,6,0.00477326968973747,0.00954653937947494
5,primary,presence:b2_30m_trades,presence,finite_presence_binary,419,0.0,0.0,0.0,0.0,0.0,0,0,419,0,0.0,0.0
