horizon_minutes,window,column,kind,pointwise_transform,N_sessions,mean,median,absolute_mean,minimum,maximum,positive_count,negative_count,zero_count,active_sessions,positive_share,negative_share
5,confirmation,presence:rp4_iv_dte_31_90_m_gt110,presence,finite_presence_binary,25,-0.0039492708426473,-0.0040952996131562,0.0039492708426473,-0.0043733962585903,-0.0029203623843701,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_31_90_m_lt090,presence,finite_presence_binary,25,-0.0100206264043016,-0.0099480804263737,0.0100206264043016,-0.0108642308138055,-0.0094746082294511,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_8_30_m_090_097,presence,finite_presence_binary,25,-0.0062659167185219,-0.0050394891646483,0.0062659167185219,-0.0181324489809839,-0.0004850258890058,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_8_30_m_097_103,presence,finite_presence_binary,25,-0.0265443147250379,-0.0273916632847699,0.0265443147250379,-0.0288754579920751,-0.0205532320160934,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_8_30_m_103_110,presence,finite_presence_binary,25,-0.03161469627155,-0.0337663248199899,0.03161469627155,-0.0340612092113272,-0.0204000221199738,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_8_30_m_gt110,presence,finite_presence_binary,25,-0.0019381119033384,-0.001940495434224,0.0019381119033384,-0.002359476290634,-0.0015442774542219,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_8_30_m_lt090,presence,finite_presence_binary,25,-0.0092901842472802,-0.0092290895040027,0.0092901842472802,-0.0101279528561167,-0.0088508559865588,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_gt90_m_090_097,presence,finite_presence_binary,25,-0.0007726349960087,-0.0004147400020387,0.0007726349960087,-0.0027104873241039,-0.0001228025430288,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_gt90_m_097_103,presence,finite_presence_binary,25,0.0071023116759891,0.0087517117604987,0.0077233048791565,-0.0020497710523185,0.0091435759875992,21,4,0,25,0.84,0.16
5,confirmation,presence:rp4_iv_dte_gt90_m_103_110,presence,finite_presence_binary,25,0.0002905145708729,0.0004150356054882,0.0006606810425909,-0.001215501092481,0.0014013743503207,21,4,0,25,0.84,0.16
5,confirmation,presence:rp4_iv_dte_gt90_m_gt110,presence,finite_presence_binary,25,-0.0099037059939643,-0.0093216727265508,0.0099037059939643,-0.0131262988421632,-0.0091820447224404,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_iv_dte_gt90_m_lt090,presence,finite_presence_binary,25,-0.0100760963154915,-0.0094254025390549,0.0100760963154915,-0.0136556329698898,-0.0092732670473518,0,25,0,25,0.0,1.0
5,confirmation,presence:rp4_surface_populated_cells,presence,finite_presence_binary,25,0.0,0.0,0.0,0.0,0.0,0,0,25,0,0.0,0.0
5,primary,presence:b1_butterfly_25,presence,finite_presence_binary,419,-0.000842241634722,0.0,0.000842241634722,-0.0140951575932599,0.0,0,46,373,46,0.0,0.1097852028639618
5,primary,presence:b1_iv_14d,presence,finite_presence_binary,419,-0.0062675497239865,0.0,0.0066807217102474,-0.2385839269544458,0.0365647117355618,3,15,401,18,0.0071599045346062,0.035799522673031
5,primary,presence:b1_iv_30d,presence,finite_presence_binary,419,-0.0008033475625958,0.0,0.0021261563300049,-0.2389959043837114,0.0417570990165477,8,5,406,13,0.0190930787589498,0.0119331742243436
