horizon_minutes,session_date,family,information_set,qlike,mae,mse,N_origins,N_asset_sessions,qlike_origin
15,2025-08-12,selector_primary,B0,0.17200862217114146,2.3144991757324846e-06,2.0694351841676464e-11,390,6,0.17200862217114146
15,2025-08-12,selector_primary,B1,0.17217875644265432,2.3192065742856797e-06,2.1212679610451636e-11,390,6,0.1721787564426543
15,2025-08-12,selector_primary,B2,0.1673031993702332,2.2797988381132153e-06,2.0554364927550907e-11,390,6,0.1673031993702332
15,2025-08-12,ensemble_top2,B0,0.16648018504679585,2.374409476240129e-06,2.076791493918142e-11,390,6,0.16648018504679582
15,2025-08-12,ensemble_top2,B1,0.16562670007037997,2.332298448233412e-06,2.075587033337933e-11,390,6,0.16562670007038002
15,2025-08-12,ensemble_top2,B2,0.16158317250552612,2.2762913416242048e-06,1.9896829967264462e-11,390,6,0.16158317250552612
15,2025-08-12,average_linear3,B0,0.16873605499819608,2.4739802073098402e-06,2.1405103661541638e-11,390,6,0.16873605499819608
15,2025-08-12,average_linear3,B1,0.16870961415723618,2.38139989895649e-06,2.066154051127221e-11,390,6,0.16870961415723618
15,2025-08-12,average_linear3,B2,0.16481975036035032,2.3109471757764263e-06,1.964535055247322e-11,390,6,0.16481975036035035
15,2025-08-12,average_learned4,B0,0.166970434898851,2.421505624006588e-06,2.10272290899465e-11,390,6,0.16697043489885102
15,2025-08-12,average_learned4,B1,0.16650311918095698,2.353782538061214e-06,2.0662842197216097e-11,390,6,0.16650311918095698
15,2025-08-12,average_learned4,B2,0.16255903237022135,2.292643894150868e-06,1.9728093113120074e-11,390,6,0.16255903237022135
15,2025-08-13,seasonal_persistence,B0,0.6076012846538724,4.088378673661123e-06,1.4898760391957153e-10,390,6,0.6076012846538724
15,2025-08-13,seasonal_persistence,B1,0.6076012846538724,4.088378673661123e-06,1.4898760391957153e-10,390,6,0.6076012846538724
15,2025-08-13,seasonal_persistence,B2,0.6076012846538724,4.088378673661123e-06,1.4898760391957153e-10,390,6,0.6076012846538724
15,2025-08-13,log_har,B0,0.38027283755979613,4.091855446239983e-06,1.4076010816989152e-10,390,6,0.38027283755979613
15,2025-08-13,log_har,B1,0.38321790062718164,4.0706463522420516e-06,1.414008015497215e-10,390,6,0.38321790062718164
15,2025-08-13,log_har,B2,0.3934470067036335,4.035263922947964e-06,1.4245734201057493e-10,390,6,0.39344700670363336
15,2025-08-13,log_ridge_harq,B0,0.38033876771274944,4.091848485626672e-06,1.4076931884543008e-10,390,6,0.3803387677127495
15,2025-08-13,log_ridge_harq,B1,0.3832714560150225,4.0706622460765035e-06,1.4140957653781354e-10,390,6,0.38327145601502244
15,2025-08-13,log_ridge_harq,B2,0.39494547296208316,4.035722346349257e-06,1.4260203606812457e-10,390,6,0.39494547296208316
15,2025-08-13,log_elastic_net,B0,0.3811532451161477,4.089285390429296e-06,1.4074932001363698e-10,390,6,0.38115324511614773
15,2025-08-13,log_elastic_net,B1,0.38331760469203857,4.070373395635664e-06,1.413264184830761e-10,390,6,0.3833176046920385
15,2025-08-13,log_elastic_net,B2,0.3933218851973032,4.03492946924287e-06,1.4237043642849911e-10,390,6,0.39332188519730316
15,2025-08-13,lightgbm_qlike,B0,0.3767255281563964,4.107762988351277e-06,1.425899807347881e-10,390,6,0.3767255281563963
15,2025-08-13,lightgbm_qlike,B1,0.37432279679990527,4.2325697868535875e-06,1.434728042915406e-10,390,6,0.3743227967999053
15,2025-08-13,lightgbm_qlike,B2,0.378210204658032,4.263813561619084e-06,1.4467307254703917e-10,390,6,0.37821020465803196
15,2025-08-13,selector_primary,B0,0.3767255281563964,4.107762988351277e-06,1.425899807347881e-10,390,6,0.3767255281563963
15,2025-08-13,selector_primary,B1,0.37432279679990527,4.2325697868535875e-06,1.434728042915406e-10,390,6,0.3743227967999053
15,2025-08-13,selector_primary,B2,0.3933218851973032,4.03492946924287e-06,1.4237043642849911e-10,390,6,0.39332188519730316
15,2025-08-13,ensemble_top2,B0,0.3744499931157559,4.08724874254599e-06,1.4127283633973355e-10,390,6,0.3744499931157559
15,2025-08-13,ensemble_top2,B1,0.37433900254911556,4.138794886677161e-06,1.4170010212824345e-10,390,6,0.37433900254911556
