version,window,section,N_available_origins,N_excluded_from_subset_origins,N_origins,N_sessions,N_unknown_membership_origins,N_unknown_membership_sessions,N_verified_membership_origins,N_verified_nonmember_origins,contrast,coverage_status,estimate,family,qlike_reduction_percent,status,subset,N_asset_sessions
v2,primary,robustness,,,52674,139,,,,,B2_over_B1,,0.00023241637694706402,lightgbm_qlike,0.16961709131925776,,chronological_block_2,834
v2,primary,robustness,,,108158,280,,,,,B1_over_B0,,0.002783946055103748,log_ridge_harq,1.8641794656415978,,leave_block_2_out,1680
v2,primary,robustness,,,108158,280,,,,,B2_over_B1,,-0.004215192346447294,log_ridge_harq,-2.876184510827571,,leave_block_2_out,1680
v2,primary,robustness,,,108158,280,,,,,B1_over_B0,,0.0027440807290934842,lightgbm_qlike,1.787780074189266,,leave_block_2_out,1680
v2,primary,robustness,,,108158,280,,,,,B2_over_B1,,-0.0002524710276833947,lightgbm_qlike,-0.1674801066611185,,leave_block_2_out,1680
v2,primary,robustness,,,54630,141,,,,,B1_over_B0,,-9.879266212758098e-05,log_ridge_harq,-0.06769311720039535,,chronological_block_3,846
v2,primary,robustness,,,54630,141,,,,,B2_over_B1,,0.001248583819269979,log_ridge_harq,0.8549557539550524,,chronological_block_3,846
v2,primary,robustness,,,54630,141,,,,,B1_over_B0,,0.0020970057158449344,lightgbm_qlike,1.418489817209997,,chronological_block_3,846
v2,primary,robustness,,,54630,141,,,,,B2_over_B1,,0.0007082804166362726,lightgbm_qlike,0.48600011886474276,,chronological_block_3,846
v2,primary,robustness,,,106202,278,,,,,B1_over_B0,,0.00386003870560605,log_ridge_harq,2.606447607403135,,leave_block_3_out,1668
v2,primary,robustness,,,106202,278,,,,,B2_over_B1,,-0.019655453164234882,log_ridge_harq,-13.627311843704703,,leave_block_3_out,1668
v2,primary,robustness,,,106202,278,,,,,B1_over_B0,,0.003642603551811081,lightgbm_qlike,2.427281602343815,,leave_block_3_out,1668
v2,primary,robustness,,,106202,278,,,,,B2_over_B1,,-0.000497314928422385,lightgbm_qlike,-0.3396341476739854,,leave_block_3_out,1668
v1,confirmation,secondary,5360,4952,408,25,0,0,5360,4952,B1_over_B0,COMPLETE_COVERAGE,0.001716061639907534,log_ols_harq,1.6687368586180122,COMPUTED,first_hour,
v1,confirmation,secondary,5360,4952,408,25,0,0,5360,4952,B2_over_B1,COMPLETE_COVERAGE,0.00024894854537737106,log_ols_harq,0.2461914409231313,COMPUTED,first_hour,
v1,confirmation,secondary,5360,4952,408,25,0,0,5360,4952,B1_over_B0,COMPLETE_COVERAGE,0.00011298082657884247,lightgbm_qlike,0.10966923049569148,COMPUTED,first_hour,
v1,confirmation,secondary,5360,4952,408,25,0,0,5360,4952,B2_over_B1,COMPLETE_COVERAGE,-8.136492050807825e-05,lightgbm_qlike,-0.07906673434548724,COMPUTED,first_hour,
v1,confirmation,secondary,5360,3279,2081,24,0,0,5360,3279,B1_over_B0,COMPLETE_COVERAGE,0.007979826116362556,log_ols_harq,3.337884701062194,COMPUTED,high_flow,
v1,confirmation,secondary,5360,3279,2081,24,0,0,5360,3279,B2_over_B1,COMPLETE_COVERAGE,0.011480408798017214,log_ols_harq,4.967969959255371,COMPUTED,high_flow,
v1,confirmation,secondary,5360,3279,2081,24,0,0,5360,3279,B1_over_B0,COMPLETE_COVERAGE,0.010888072978679572,lightgbm_qlike,4.786155046315451,COMPUTED,high_flow,
v1,confirmation,secondary,5360,3279,2081,24,0,0,5360,3279,B2_over_B1,COMPLETE_COVERAGE,-0.004716675346842342,lightgbm_qlike,-2.177567475981001,COMPUTED,high_flow,
v1,confirmation,secondary,5360,5040,320,2,0,0,5360,5040,B1_over_B0,COMPLETE_COVERAGE,-0.004562892901432289,log_ols_harq,-5.440638667760238,COMPUTED,event,
v1,confirmation,secondary,5360,5040,320,2,0,0,5360,5040,B2_over_B1,COMPLETE_COVERAGE,0.0007710046797242548,log_ols_harq,0.871883772725056,COMPUTED,event,
v1,confirmation,secondary,5360,5040,320,2,0,0,5360,5040,B1_over_B0,COMPLETE_COVERAGE,0.00013542991486649794,lightgbm_qlike,0.17440118235013402,COMPUTED,event,
v1,confirmation,secondary,5360,5040,320,2,0,0,5360,5040,B2_over_B1,COMPLETE_COVERAGE,-0.001997160734977143,lightgbm_qlike,-2.5763562428951734,COMPUTED,event,
v1,confirmation,robustness,,,740,25,,,,,B1_over_B0,,0.002410617151956706,log_ols_harq,1.639233091719533,,asset_AAPL,25
v1,confirmation,robustness,,,740,25,,,,,B2_over_B1,,0.001559873994967751,log_ols_harq,1.0784005038056608,,asset_AAPL,25
v1,confirmation,robustness,,,740,25,,,,,B1_over_B0,,0.003632393658577931,lightgbm_qlike,2.2958697279634537,,asset_AAPL,25
v1,confirmation,robustness,,,740,25,,,,,B2_over_B1,,0.0003826577056840895,lightgbm_qlike,0.2475436971681323,,asset_AAPL,25
v1,confirmation,robustness,,,875,25,,,,,B1_over_B0,,0.03414506480951818,log_ols_harq,5.272274290126845,,asset_AMZN,25
v1,confirmation,robustness,,,875,25,,,,,B2_over_B1,,0.044714974192446535,log_ols_harq,7.288630412209657,,asset_AMZN,25
v1,confirmation,robustness,,,875,25,,,,,B1_over_B0,,0.04019506390239993,lightgbm_qlike,7.0634674294525155,,asset_AMZN,25
v1,confirmation,robustness,,,875,25,,,,,B2_over_B1,,-0.021901078797089423,lightgbm_qlike,-4.1411815087127035,,asset_AMZN,25
v1,confirmation,robustness,,,638,25,,,,,B1_over_B0,,0.0005071369640257653,log_ols_harq,0.4033549627741485,,asset_META,25
v1,confirmation,robustness,,,638,25,,,,,B2_over_B1,,0.0040608440413727,log_ols_harq,3.2429013658416035,,asset_META,25
v1,confirmation,robustness,,,638,25,,,,,B1_over_B0,,0.006552617246876906,lightgbm_qlike,5.226644455951928,,asset_META,25
v1,confirmation,robustness,,,638,25,,,,,B2_over_B1,,-0.00017970652572511987,lightgbm_qlike,-0.15124664438951324,,asset_META,25
v1,confirmation,robustness,,,772,25,,,,,B1_over_B0,,-0.00040026436073398647,log_ols_harq,-0.3615776600190024,,asset_MSFT,25
v1,confirmation,robustness,,,772,25,,,,,B2_over_B1,,0.00436241953662429,log_ols_harq,3.9265815104674306,,asset_MSFT,25
v1,confirmation,robustness,,,772,25,,,,,B1_over_B0,,0.00018821426398374448,lightgbm_qlike,0.16182839457806358,,asset_MSFT,25
v1,confirmation,robustness,,,772,25,,,,,B2_over_B1,,0.0005416423103245988,lightgbm_qlike,0.46646402452373886,,asset_MSFT,25
v1,confirmation,robustness,,,1249,25,,,,,B1_over_B0,,0.0021881836988147494,log_ols_harq,1.9460469661403734,,asset_NVDA,25
v1,confirmation,robustness,,,1249,25,,,,,B2_over_B1,,-0.0005765817238048213,log_ols_harq,-0.5229561856956426,,asset_NVDA,25
v1,confirmation,robustness,,,1249,25,,,,,B1_over_B0,,0.003527775997268927,lightgbm_qlike,3.0004112859316323,,asset_NVDA,25
v1,confirmation,robustness,,,1249,25,,,,,B2_over_B1,,-0.0008461446056797939,lightgbm_qlike,-0.7419155721616199,,asset_NVDA,25
v1,confirmation,robustness,,,1086,25,,,,,B1_over_B0,,-0.0045090741703480075,log_ols_harq,-3.1057800720639848,,asset_TSLA,25
v1,confirmation,robustness,,,1086,25,,,,,B2_over_B1,,-0.0016407636039563183,log_ols_harq,-1.0960902669269392,,asset_TSLA,25
v1,confirmation,robustness,,,1086,25,,,,,B1_over_B0,,0.0009856675384834566,lightgbm_qlike,0.6779677435096364,,asset_TSLA,25
v1,confirmation,robustness,,,1086,25,,,,,B2_over_B1,,0.0006706414291977816,lightgbm_qlike,0.46443330825849566,,asset_TSLA,25
v1,confirmation,robustness,,,5360,25,,,,,B1_over_B0,,0.005723610682205567,log_ols_harq,2.6647328437617013,,last30sessions,150
v1,confirmation,robustness,,,5360,25,,,,,B2_over_B1,,0.008746794406275018,log_ols_harq,4.1837168340074795,,last30sessions,150
v1,confirmation,robustness,,,5360,25,,,,,B1_over_B0,,0.009180288767931831,lightgbm_qlike,4.471259814457613,,last30sessions,150
v1,confirmation,robustness,,,5360,25,,,,,B2_over_B1,,-0.0035553314138813295,lightgbm_qlike,-1.812673576160563,,last30sessions,150
v1,confirmation,robustness,,,1623,8,,,,,B1_over_B0,,0.0018960934457427324,log_ols_harq,1.3943472174736191,,chronological_block_1,48
v1,confirmation,robustness,,,1623,8,,,,,B2_over_B1,,0.0033928287021788104,log_ols_harq,2.5302959378674426,,chronological_block_1,48
v1,confirmation,robustness,,,1623,8,,,,,B1_over_B0,,0.005035718027014923,lightgbm_qlike,3.83379206687098,,chronological_block_1,48
