session_date,forecast__log_ridge_harq__B0,loss__log_ridge_harq__B0,forecast__log_ridge_harq__B1,loss__log_ridge_harq__B1,forecast__log_ridge_harq__B2,loss__log_ridge_harq__B2,forecast__lightgbm_qlike__B0,loss__lightgbm_qlike__B0,forecast__lightgbm_qlike__B1,loss__lightgbm_qlike__B1,forecast__lightgbm_qlike__B2,loss__lightgbm_qlike__B2,actual
2025-12-03,2.0482604450631513e-06,0.3880082728722469,2.1037985293024472e-06,0.3915698617070844,2.0321141475434938e-06,0.380770405474055,1.9143667887299235e-06,0.40826267525703486,1.8402483422876465e-06,0.40148140572835406,1.9033854947591907e-06,0.39813521243003375,1.9611635959058193e-06
2025-12-04,2.237274511545667e-06,0.36823329260356497,2.297861940580987e-06,0.3653409673041665,2.269376588063427e-06,0.3742055998383041,2.0382370393195195e-06,0.3621082874513691,2.046159506454153e-06,0.3535750175648021,2.0236646740380125e-06,0.36466597768458725,2.0623414371808356e-06
2025-12-05,1.5253451583094054e-06,0.3421072416265711,1.5137757975266235e-06,0.34279381272939924,1.5354638855859818e-06,0.3525592292568802,1.4413219318141104e-06,0.33961296044404765,1.4504179474497623e-06,0.34193823988682165,1.4513975637643877e-06,0.3387551014861683,1.275221464223383e-06
2025-12-08,1.786907553477872e-06,0.4891888238777506,1.7558758528772446e-06,0.4933420023844568,1.7278395056048879e-06,0.4925776559767793,1.7240134854966462e-06,0.5264258888382864,1.7306184750071638e-06,0.54323991217482,1.724440924014589e-06,0.5345418335369233,1.7943214556574984e-06
2025-12-09,1.2021139995170066e-06,0.37263482413923615,1.2172661453217623e-06,0.3712256748680585,1.2247618798806794e-06,0.3768180461975656,1.1663182119711197e-06,0.3692757095418057,1.1785043069749376e-06,0.3687429818339738,1.166760279563862e-06,0.3698322920970607,8.953785517895161e-07
2025-12-10,1.7837227253756599e-06,0.5003520688162101,1.8244180246551086e-06,0.4902435597569088,1.7997347375575724e-06,0.4706442361214674,1.8172524336490264e-06,0.46300526475155895,1.7863403935998461e-06,0.4517500085608737,1.833901486776287e-06,0.459827690273186,2.101550763631574e-06
2025-12-11,1.7169056278942728e-06,0.3489867993964085,1.758372500597839e-06,0.3479498704738962,1.7539333928649725e-06,0.35514644417919566,1.6246795185143583e-06,0.3529827027902708,1.6661963212970732e-06,0.34838250519692426,1.6878784583141067e-06,0.34806555471944667,1.5312288927332555e-06
2025-12-12,2.9564187898014804e-06,0.3657185431351027,2.918582543109767e-06,0.36093257844407195,2.8997226270339245e-06,0.36410774628833603,2.7862032624867948e-06,0.37240651536630404,2.770373838736533e-06,0.37066026397741103,2.8047040463909625e-06,0.3712485088583659,3.117479714489667e-06
2025-12-15,2.7760189575702427e-06,0.23961354572677498,2.7258123284537814e-06,0.23752651047413534,2.7567596226384476e-06,0.23648029282841568,2.43708561564468e-06,0.23417952066298311,2.440881381752513e-06,0.2362006428219834,2.4423835295724765e-06,0.232520893886741,2.4343425525834066e-06
2025-12-16,2.6218732912340738e-06,0.2697000661439199,2.598436771672785e-06,0.269492948490914,2.6655778429617532e-06,0.27691479607683683,2.3398805339696234e-06,0.25327977637302407,2.2424079825820843e-06,0.24816766085767264,2.2808179693841456e-06,0.2505330679153686,2.0317087252563682e-06
